iter	Passed	Remaining
842	33947	6322
843	33988	6282
844	34026	6241
845	34066	6201
846	34104	6160
847	34143	6120
848	34180	6079
849	34222	6039
850	34261	5998
851	34306	5959
852	34354	5920
853	34397	5880
854	34439	5840
855	34492	5802
856	34540	5763
857	34585	5723
858	34631	5684
859	34676	5645
860	34719	5605
861	34760	5564
862	34802	5524
863	34843	5484
864	34886	5444
865	34928	5404
866	34995	5368
867	35043	5329
868	35088	5289
869	35132	5249
870	35172	5209
871	35214	5169
872	35258	5129
873	35303	5089
874	35344	5049
875	35385	5008
876	35426	4968
877	35474	4929
878	35519	4889
879	35566	4849
880	35611	4810
881	35656	4770
882	35696	4729
883	35733	4689
884	35773	4648
885	35811	4607
886	35851	4567
887	35896	4527
888	35943	4487
889	35986	4447
890	36023	4406
891	36063	4366
892	36100	4325
893	36139	4284
894	36175	4244
895	36217	4203
896	36255	4163
897	36294	4122
898	36332	4081
899	36372	4041
900	36411	4000
901	36452	3960
902	36492	3919
903	36532	3879
904	36574	3839
905	36615	3799
906	36652	3758
907	36691	3717
908	36728	3676
909	36767	3636
910	36804	3595
911	36842	3554
912	36878	3514
913	36916	3473
914	36954	3432
915	36990	3392
916	37029	3351
917	37067	3311
918	37108	3270
919	37145	3230
920	37184	3189
921	37221	3148
922	37259	3108
923	37297	3067
924	37340	3027
925	37378	2987
926	37420	2946
927	37463	2906
928	37506	2866
929	37548	2826
930	37589	2785
931	37630	2745
932	37666	2704
933	37706	2664
934	37743	2623
935	37783	2583
936	37820	2542
937	37858	2502
938	37896	2461
939	37936	2421
940	37973	2380
941	38017	2340
942	38063	2300
943	38100	2260
944	38139	2219
945	38177	2179
946	38240	2140
947	38277	2099
948	38318	2059
949	38357	2018
950	38398	1978
951	38438	1938
952	38478	1897
953	38517	1857
954	38554	1816
955	38593	1776
956	38629	1735
957	38667	1695
958	38704	1654
959	38741	1614
960	38781	1573
961	38817	1533
962	38857	1492
963	38895	1452
964	38934	1412
965	38972	1371
966	39010	1331
967	39048	1290
968	39086	1250
969	39123	1210
970	39163	1169
971	39201	1129
972	39241	1088
973	39282	1048
974	39321	1008
975	39363	967
976	39402	927
977	39439	887
978	39477	846
979	39515	806
980	39553	766
981	39592	725
982	39628	685
983	39668	645
984	39706	604
985	39745	564
986	39783	523
987	39822	483
988	39859	443
989	39897	403
990	39933	362
991	39971	322
992	40009	282
993	40047	241
994	40086	201
995	40123	161
996	40164	120
997	40204	80
998	40244	40
999	40285	0
